*	COL	RIF	FOS	TOB	AMI	GEN	AZY	ERI	CLA	TMS	LEV	CIP	MIN	DOX	CAR	MER	CFX	IMI	AZE	AMP	TIC	PIP	CFP	CFZ
MER	0	0	0	0	0	0	0	0	4	2	0	2	2	4	16	64	4	16	64	16	16	4	4	4
AZE	-4	0	-2	-2	0	0	0	0	4	8	4	2	8	8	8	8	2	0	64	4	16	8	32	32
CAR	-2	0	0	-2	-2	0	0	0	8	8	8	4	8	16	32	16	2	2	32	8	16	4	4	4
AMP	-2	0	0	0	0	0	0	0	0	-2	-2	-2	2	2	0	2	8	0	2	16	16	0	4	4
PIP	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	4	4	2	8	16	4	32	4	32
CFP	0	0	0	2	2	2	0	0	0	0	0	2	0	2	8	4	4	2	16	8	8	32	8	16
CFX	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	16	0	16	16	16	16	16	32
TIC	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	4	0	4	2	8	8	8	32	32	32
CFZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	4	4	32	16	16	128	16	64
TMS	0	0	0	-2	-2	-2	-2	0	-2	16	16	8	16	16	-2	0	-2	0	-2	0	0	-4	0	0
AZY	-4	0	0	-2	-2	-2	8	16	8	8	8	16	4	16	-4	-2	0	-2	-2	-4	-2	0	0	-2
ERI	-2	0	0	-2	-2	-2	4	16	8	2	4	4	4	4	-2	-2	-2	-2	-2	-2	-2	0	0	-2
CLA	-2	0	0	-2	-2	-4	8	32	32	2	4	8	8	16	-4	-2	-2	-2	-4	-8	-2	0	0	-2
DOX	-2	0	0	-2	-2	-2	8	4	4	2	16	32	16	16	-4	0	0	-2	-4	-8	0	0	0	0
MIN	-2	0	-2	-2	-2	-2	8	4	4	2	16	32	16	16	-4	0	0	-2	-4	-8	0	0	0	0
CIP	-2	0	0	-4	-4	-2	4	16	8	4	128	128	8	16	-4	-2	0	-2	-4	-8	-2	-2	0	-2
LEV	-2	0	0	-4	-4	-4	8	16	8	4	128	128	8	32	-4	-2	0	-2	-4	-4	-2	-2	0	-2
FOS	0	0	128	0	0	0	-2	0	0	2	0	0	0	2	0	-2	2	0	2	2	0	0	0	0
COL	4	0	-2	4	4	16	-2	0	0	0	0	0	0	0	-4	-2	-2	0	-2	-2	-2	-4	-2	-2
AMI	-2	0	2	8	16	8	0	0	0	2	0	0	0	2	-2	0	0	0	0	0	0	-2	0	0
GEN	-2	0	2	16	64	32	0	0	0	2	0	0	0	2	-2	0	0	0	0	0	0	0	0	0
TOB	-2	0	2	32	64	32	-2	0	0	2	0	0	2	2	-2	0	0	0	-2	0	0	0	0	0
IMI	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	0	0	0	0
RIF	0	128	0	0	4	0	-2	0	0	8	0	2	2	2	0	-2	2	0	2	2	2	0	0	2
