*	AMI	GEN	KAN	STR	AMP	AMX	PIP	CFX	CFP	NAL	CIP	LEV	TET	MIN	TGC	CHL	COL	POL	AZY	FOS	RIF	NIT	TRI
AMI	32	32	32	16	-2	-2	-2	-8	0	0	0	0	-2	-2	-2	-8	-2	-2	-2	-2	-2	-2	32
GEN	32	32	16	8	0	0	-2	-2	0	-2	0	0	-2	-2	-2	-4	-4	-4	-4	-4	0	-2	8
KAN	32	32	32	8	0	0	-2	-4	0	-2	0	0	-2	-2	-2	-4	-4	-2	-2	-2	0	-2	32
STR	2	4	4	32	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0
AMP	0	0	0	0	16	2	2	16	16	4	4	4	2	2	2	16	0	0	2	0	0	-2	8
AMX	2	0	0	0	32	32	8	16	4	0	2	4	0	0	0	2	0	0	2	0	2	2	2
PIP	0	0	0	0	8	2	16	16	8	4	8	8	2	2	0	16	0	0	8	0	4	-2	4
CFX	0	-2	-2	0	4	0	2	32	32	4	8	8	2	2	0	32	0	2	4	-4	2	4	4
CFP	0	2	2	0	4	2	4	32	32	4	4	8	2	2	0	32	0	2	2	0	2	8	4
NAL	-2	-2	-4	-2	2	0	0	2	4	32	16	16	0	0	0	0	0	0	0	2	2	0	2
CIP	0	0	0	0	4	2	8	16	16	32	32	32	4	2	0	8	0	0	8	2	2	2	32
LEV	0	0	0	0	4	0	4	16	16	32	32	32	4	2	2	2	0	0	4	4	4	2	32
TET	0	0	0	-2	2	0	4	8	16	4	4	16	16	4	4	32	-2	-2	4	-4	2	-2	32
MIN	0	-2	-2	-2	2	0	4	8	4	2	4	8	4	4	2	32	-2	-2	4	-4	2	-4	4
TGC	0	-2	-2	-2	2	-2	4	8	8	8	8	8	16	16	16	32	-2	-2	2	-4	0	-2	8
CHL	0	0	0	-2	4	2	4	4	32	4	4	8	8	4	2	32	0	-2	4	0	8	2	16
COL	0	0	0	0	0	0	0	0	0	-2	0	0	-4	-4	-2	-4	32	32	-2	4	0	2	-2
POL	2	2	2	0	-2	-2	-2	0	0	-2	0	0	-4	-4	-2	-4	32	32	-4	16	0	0	0
AZY	0	4	2	2	2	0	0	8	4	0	2	2	0	2	2	4	-2	4	32	4	2	-2	4
FOS	2	2	2	0	0	2	0	4	4	2	2	2	0	0	0	2	0	2	2	32	2	2	2
RIF	2	0	0	0	2	0	2	2	2	0	2	0	-2	-2	0	0	0	0	0	0	32	0	-2
NIT	0	-2	-2	0	0	0	0	2	4	4	2	2	-2	0	0	2	0	0	2	0	2	32	0
TRI	4	2	4	3	0	0	0	0	2	4	8	4	0	0	0	2	0	2	2	0	2	2	32
